Outcome category,Outcome detail,Cost / saving detail,Unit,Agency bearing the cost / making the fiscal saving 1,Agency bearing the cost / making the fiscal saving 2,Fiscal value,Economic value,Social value,Original source
HEALTH,MENTAL HEALTH,"Average cost of service provision for people suffering from mental health disorders, per person per year, including dementia (all ages, including children, adolescents and adults) - fiscal and economic costs",Per person per year,Local Authority,NHS,2638.99621,5310.52024,,"Paying the Price: the cost of mental health care in England to 2026 (King's Fund, 2008), p.118, 25, 40, 59, 74, 96, 104-109 and 114 "
HEALTH,MENTAL HEALTH,"Average cost of service provision for people suffering from mental health disorders, per person per year, including dementia (all ages, including children, adolescents and adults) - fiscal cost to the local authority",Per person per year,Local Authority,Social Services,1480.722954,,,"Paying the Price: the cost of mental health care in England to 2026 (King's Fund, 2008), p.118, 25, 40, 59, 74, 96, 104-109 and 114 "
HEALTH,MENTAL HEALTH,"Average cost of service provision for people suffering from mental health disorders, per person per year, including dementia (all ages, including children, adolescents and adults) - fiscal cost to the NHS",Per person per year,NHS,Integrated Care System,1139.887966,,,"Paying the Price: the cost of mental health care in England to 2026 (King's Fund, 2008), p.118, 25, 40, 59, 74, 96, 104-109 and 114 "
HEALTH,MENTAL HEALTH,"Average cost of service provision for people suffering from mental health disorders, per person per year, including dementia (all ages, including children, adolescents and adults) - fiscal cost to the criminal justice system",Per person per year,Criminal Justice System,Prison,18.38528978,,,"Paying the Price: the cost of mental health care in England to 2026 (King's Fund, 2008), p.118, 25, 40, 59, 74, 96, 104-109 and 114 "
HEALTH,MENTAL HEALTH,"Average cost of service provision for people suffering from mental health disorders, per person per year, excluding dementia (all ages, including children, adolescents and adults) - fiscal and economic costs",Per person per year,NHS,Local authority,1162.516015,4754.718787,,"Paying the Price: the cost of mental health care in England to 2026 (King's Fund, 2008), p.118, 25, 40, 59, 74, 96 and 104-109"
HEALTH,MENTAL HEALTH,"Average cost of service provision for people suffering from mental health disorders, per person per year, excluding dementia (all ages, including children, adolescents and adults) - fiscal cost to the NHS",Per person per year,NHS,Integrated Care System,1014.019444,,,"Paying the Price: the cost of mental health care in England to 2026 (King's Fund, 2008), p.118, 25, 40, 59, 74, 96 and 104-109"
HEALTH,MENTAL HEALTH,"Average cost of service provision for people suffering from mental health disorders, per person per year, excluding dementia (all ages, including children, adolescents and adults) - fiscal cost to the local authority",Per person per year,Local Authority,Social Services,128.6970284,,,"Paying the Price: the cost of mental health care in England to 2026 (King's Fund, 2008), p.118, 25, 40, 59, 74, 96 and 104-109"
HEALTH,MENTAL HEALTH,"Average cost of service provision for people suffering from mental health disorders, per person per year, excluding dementia (all ages, including children, adolescents and adults) - fiscal cost to the criminal justice system",Per person per year,Criminal Justice System,Prison,19.79954284,,,"Paying the Price: the cost of mental health care in England to 2026 (King's Fund, 2008), p.118, 25, 40, 59, 74, 96 and 104-109"
HEALTH,MENTAL HEALTH,"Average cost associated with any type of mental health condition, excluding dementia, all ages, UK - overall public value (fiscal, economic and social costs combined)",Per person per year,,,,12850.39486,,"The economic case for investing in the prevention of mental health conditions in the UK (London School of Economics and Political Science, 2022)"
HEALTH,MENTAL HEALTH,"Average cost associated with dysthymia (persistent depressive disorder), all ages, UK - overall public value (fiscal, economic and social costs combined)",Per person per year,,,,10260.30466,,"The economic case for investing in the prevention of mental health conditions in the UK (London School of Economics and Political Science, 2022)"
HEALTH,MENTAL HEALTH,"Average cost associated with autism, all ages, UK - overall public value (fiscal, economic and social costs combined)",Per person per year,,,,17557.5825,,"The economic case for investing in the prevention of mental health conditions in the UK (London School of Economics and Political Science, 2022)"
HEALTH,MENTAL HEALTH,"Average cost associated with ADHD (attention deficit hyperactivity disorder), all ages, UK - overall public value (fiscal, economic and social costs combined)",Per person per year,,,,1240.469014,,"The economic case for investing in the prevention of mental health conditions in the UK (London School of Economics and Political Science, 2022)"
HEALTH,MENTAL HEALTH,"Average cost associated with conduct disorder, all ages, UK - overall public value (fiscal, economic and social costs combined)",Per person per year,,,,12117.02867,,"The economic case for investing in the prevention of mental health conditions in the UK (London School of Economics and Political Science, 2022)"
HEALTH,MENTAL HEALTH,"Mental health care clusters, average cost per cluster day",Per day,NHS,Integrated Care System,25.20319299,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of all currency codes, 'MHCC' worksheet)"
HEALTH,MENTAL HEALTH,"Mental health care clusters, average cost per initial assessment",Each,NHS,Integrated Care System,306.864452,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of all currency codes, 'MHCCIA' worksheet)"
HEALTH,MENTAL HEALTH,Mental health secure unit - average cost per bed day,Per bed day,NHS,Integrated Care System,724.0600174,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of all currency codes, 'SECMHCC' worksheet)"
HEALTH,MENTAL HEALTH,"NHS community mental health team (CMHT) for older people with mental health problems, cost per hour per team member",Per hour,NHS,Integrated Care System,53.09634625,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.185"
HEALTH,MENTAL HEALTH,"NHS community mental health team (CMHT) for adults with mental health problems, cost per hour per team member",Per hour,NHS,Integrated Care System,47.06267054,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.186"
HEALTH,MENTAL HEALTH,"Crisis resolution team for adults with mental health problems, cost per hour per team member",Per hour,NHS,Integrated Care System,48.26940568,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.187"
HEALTH,MENTAL HEALTH,"Assertive outreach team for adults with mental health problems, cost per hour per team member",Per hour,NHS,Integrated Care System,45.8559354,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.188"
HEALTH,MENTAL HEALTH,Mental health specialist teams - average cost per contact,Per contact,NHS,Integrated Care System,271.675221,,,"National Schedule of Reference Costs 2019-20 for NHS trusts and NHS foundation trusts ('MH' worksheet, currency codes MHSTAEA-MHSTPSC)"
HEALTH,THERAPY,"Counselling services in primary medical care, cost per hour",Per hour,NHS,Integrated Care System,62.78390946,,,"Unit Costs of Health & Social Care 2014 (Curtis, 2014), p.51"
HEALTH,THERAPY,"Cognitive behaviour therapy - average cost of a course of six face-to-face CBT sessions, per participant",Per course,NHS,Integrated Care System,337.8858398,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.51"
HEALTH,WELLBEING,Increased life satisfaction by a one-point change,Per person per year,Society / Economic,,,,14781.024,"Wellbeing Guidance for Appraisal: Supplementary Green Book Guidance (HM Treasury / Social Impacts Task Force, 2021)"
HEALTH,GP / NURSE,"GP - cost per hour, General Medical Services activity (excluding qualification costs, but including direct care staff costs)",Per hour,NHS,GP,141.808247,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 111"
HEALTH,GP / NURSE,"GP contact - cost per face-to-face (surgery) consultation with patients, average 9.22 minutes (excluding qualification costs, but including direct care staff costs)",Per consultation,NHS,GP,35.45206175,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 111"
HEALTH,GP / NURSE,GP contact - cost per telephone consultation (average 7.1 minutes),Per consultation,NHS,GP,27.31028711,,,"Unit Costs of Health & Social Care 2015 (Curtis, 2015), p.177"
HEALTH,GP / NURSE,GP contact - cost per out-of-surgery visit (average 23.4 minutes),Per visit,NHS,GP,122.0218374,,,"Unit Costs of Health & Social Care 2013 (Curtis, 2013), p.191"
HEALTH,GP / NURSE,"GP - annual cost (excluding qualification costs, but including travel)",Per year,NHS,GP,253631.5699,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 111"
HEALTH,GP / NURSE,GP-led telephone triage - cost per intervention (excluding training and other costs),Each,NHS,Integrated Care System,17.41886828,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 114"
HEALTH,GP / NURSE,GP - prescription costs per consultation,Per consultation,NHS,GP,33.19602145,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 111"
HEALTH,GP / NURSE,"Nurse, GP practice - cost per hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,45.12080586,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 109"
HEALTH,GP / NURSE,Nurse-led telephone triage - cost per intervention (excluding training and other costs),Each,NHS,Integrated Care System,8.663954065,,,"Unit Costs of Health & Social Care 2020 (Curtis, 2020). p 114"
HEALTH,GP / NURSE,"Average cost of a GP e-consultation, including initial and follow-up actions",Per consultation,NHS,GP,54.4887446,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.113"
HEALTH,COMMUNITY HEALTH PROVISION,"Community-based allied health professionals, Band 5: cost per working hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,44.04650096,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.104"
HEALTH,COMMUNITY HEALTH PROVISION,"Community-based allied health professionals, Band 4: cost per working hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,37.60067155,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.104"
HEALTH,COMMUNITY HEALTH PROVISION,"Community-based allied health professionals, Band 6: cost per working hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,58.01246468,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.104"
HEALTH,COMMUNITY HEALTH PROVISION,"Community-based allied health professionals, Band 7: cost per working hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,69.82981859,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.104"
HEALTH,COMMUNITY HEALTH PROVISION,"Community-based allied health professionals, Band 8a: cost per working hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,80.5728676,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.104"
HEALTH,COMMUNITY HEALTH PROVISION,"Community-based allied health professionals, Band 8b: cost per working hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,94.53883132,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.104"
HEALTH,COMMUNITY HEALTH PROVISION,"Community-based allied health professionals, Band 8c: cost per working hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,112.8020146,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.104"
HEALTH,COMMUNITY HEALTH PROVISION,"Community-based allied health professionals, Band 8d: cost per working hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,134.2881127,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.104"
HEALTH,COMMUNITY HEALTH PROVISION,"Community-based allied health professionals, Band 9: cost per working hour (excluding qualification costs)",Per hour,NHS,Integrated Care System,162.2200401,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.104"
HEALTH,DENTAL,Dental filling - cost per tooth,Per tooth,NHS,Integrated Care System,11.95445488,,,"Improving Child Oral Health: Cost Analysis of a National Nursery Toothbrushing Programme, Anopa et al."
HEALTH,DENTAL,Dental extraction - cost per tooth,Per tooth,NHS,Integrated Care System,405.0585825,,,"Improving Child Oral Health: Cost Analysis of a National Nursery Toothbrushing Programme, Anopa et al."
HEALTH,DENTAL,Decayed tooth - expected cost,Per tooth,NHS,Integrated Care System,49.0619483,,,"Improving Child Oral Health: Cost Analysis of a National Nursery Toothbrushing Programme, Anopa et al."
HEALTH,DENTAL,NHS Dentist (performer-only) - average cost per hour,Per hour,NHS,Integrated Care System,119.3851938,,,"Unit Costs of Health & Social Care 2021 (Curtis, 2021). p 115"
HEALTH,DENTAL,NHS Dentist (providing-performer) - average cost per hour,Per hour,NHS,Integrated Care System,158.0432566,,,"Unit Costs of Health & Social Care 2021 (Curtis, 2021). p 116"
HEALTH,CHRONIC CONDITIONS,Average annual cost of patient with chronic obstructive pulmonary disease (COPD),Per year,NHS,Integrated Care System,4774.088475,,,"The importance of multimorbidity in explaining utilisation and costs across health and social care settings: Evidence from South Somerset's Symphony project, CHE, p.8; pg.36-51"
HEALTH,CHRONIC CONDITIONS,Average annual cost of patient with coronary artery disease,Per year,NHS,Integrated Care System,4910.957398,,,"The importance of multimorbidity in explaining utilisation and costs across health and social care settings: Evidence from South Somerset's Symphony project, CHE, p.8; pg.36-51"
HEALTH,CHRONIC CONDITIONS,Cardiovascular disease (CVD) - average annual cost of ongoing NHS care and rehabilitation programmes following a heart attack (myocardial infarction),Per year,NHS,Integrated Care System,506.7805603,,,"Prevention of Cardiovascular Disease: Costing Report (NICE, 2010), p.24"
HEALTH,CHRONIC CONDITIONS,Average annual cost of patient with hypertension,Per year,NHS,Integrated Care System,367.9137094,,,"The importance of multimorbidity in explaining utilisation and costs across health and social care settings: Evidence from South Somerset's Symphony project, CHE, p.8; pg.36-51"
HEALTH,CHRONIC CONDITIONS,Average annual cost of patient with asthma,Per year,NHS,Integrated Care System,1678.841739,,,"The importance of multimorbidity in explaining utilisation and costs across health and social care settings: Evidence from South Somerset's Symphony project, CHE, p.8; pg.36-51"
HEALTH,CHRONIC CONDITIONS,Average health and social care costs of a patient with a stroke - all types,Per person ,Adult Social Services,NHS,55556.8792,,,"The economic burden of stroke care in England, Wales and Northern Ireland: Using a national stroke register to estimate and report patient-level health economic outcomes in stroke (Xu et al, 2017)"
HEALTH,CHRONIC CONDITIONS,Cardiovascular disease (CVD) - average annual cost of ongoing NHS care and rehabilitation programmes following a stroke,Per year,NHS,Integrated Care System,4868.285697,,,"Prevention of Cardiovascular Disease: Costing Report (NICE, 2010), p.21-22"
HEALTH,CHRONIC CONDITIONS,Type 1 Diabetes - Annual Cost,Per year,Multiple,,3370.675499,6369.803448,,"Estimating the current and future costs of Type 1 and Type 2 diabetes in the UK, including direct health costs and indirect societal and productivity costs (Hex et al, 2012), p.858-860"
HEALTH,CHRONIC CONDITIONS,Type 2 Diabetes - Annual Cost,Per year,Multiple,,3409.91807,8448.797397,,"Estimating the current and future costs of Type 1 and Type 2 diabetes in the UK, including direct health costs and indirect societal and productivity costs (Hex et al, 2012), p.858-860"
HEALTH,DISABILITY,Wheelchair or disability access - initial cost,Per installation,Private sector,Multiple,,2222.999851,,"Costs and benefits to service providers of making reasonable adjustments under Part III of the Disability Discrimination Act, DWP, 2002, p. 89"
HEALTH,DISABILITY,"Hoist, lift or evac chair for disabled accessibility - initial cost",Per installation,Private sector,Multiple,,19800.32151,,"Costs and benefits to service providers of making reasonable adjustments under Part III of the Disability Discrimination Act, DWP, 2002, p. 89"
HEALTH,DISABILITY,Accessible toilets for disabled people - initial cost,Per installation,Private sector,Multiple,,4895.156333,,"Costs and benefits to service providers of making reasonable adjustments under Part III of the Disability Discrimination Act, DWP, 2002, p. 89"
HEALTH,DISABILITY,Dedicated parking facilities for disabled people - initial cost,Per installation,Private sector,Multiple,,335.2400946,,"Costs and benefits to service providers of making reasonable adjustments under Part III of the Disability Discrimination Act, DWP, 2002, p. 89"
HEALTH,DISABILITY,Accessible website for disabled people - per annum on-going costs,Per year,Private sector,Multiple,,3975.687142,,"Costs and benefits to service providers of making reasonable adjustments under Part III of the Disability Discrimination Act, DWP, 2002, p. 91"
HEALTH,ALCOHOL,"Alcohol misuse - estimated annual cost to the NHS of alcohol dependency, per year per dependent drinker",Per person per year,NHS,Integrated Care System,2434.16502,,1890.534832,"Alcohol Use Disorders: diagnosis, assessment and management of harmful drinking and alcohol dependence (NICE Clinical Practice Guidance 115), p.408"
HEALTH,ALCOHOL,"Alcohol Services, Adult, Admitted Patient",Per admission,NHS,Integrated Care System,402.0478663,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (MH worksheet, currency code ALCAAP)"
HEALTH,ALCOHOL,"Alcohol Services, Adult, Outpatient Attendances",Per attendance,NHS,Integrated Care System,103.4018468,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (MH worksheet, currency code ALCAOP)"
HEALTH,ALCOHOL,"Alcohol Services, Adult, Community Contacts",Per contact,NHS,Integrated Care System,98.66416214,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (MH worksheet, currency code ALCACC)"
HEALTH,ALCOHOL,"Alcohol Services, Children and Adolescents, Community Contacts",Per contact,NHS,Integrated Care System,236.8842308,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (MH worksheet, currency code ALCCCC)"
HEALTH,ALCOHOL,Inpatient detoxification for people who misuse drugs or alcohol,Per day,NHS,Integrated Care System,185.8372119,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.61"
HEALTH,ALCOHOL,Rehabilitation for drug or alcohol addiction ,Per bed day,NHS,Integrated Care System,457.2563952,,,National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against Rehab currency code VC26Z x level 1/2/3)
HEALTH,ALCOHOL,Residential rehabilitation for people who misuse drugs or alcohol,Per week,NHS,Local authority,830.2337777,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.60"
HEALTH,ALCOHOL,Alcohol - average cost of psychological intervention for people with mild alcohol dependence,Per course,NHS,Integrated Care System,1002.97065,,,"NICE Clinical Guideline 115: Alcohol Use Disorders - alcohol dependence, costing report (National Institute for Health and Clinical Excellence, 2011), p.20"
HEALTH,ALCOHOL,Alcohol - average cost of pharmacological intervention and monitoring for people with moderate or severe alcohol dependence,Per course,NHS,Integrated Care System,583.2935545,,,"NICE Clinical Guideline 115: Alcohol Use Disorders - alcohol dependence, costing report (National Institute for Health and Clinical Excellence, 2011), p.25"
HEALTH,ALCOHOL,"Alcohol Health Worker, hospital - cost per hour, excluding qualifications",Per hour,NHS,Integrated Care System,54.78954997,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021) p.47"
HEALTH,ALCOHOL,Alcohol - GP advice about alcohol (for individuals with increasing or high-risk drinking),Per visit,NHS,Integrated Care System,48.89107937,,,"Unit Costs of Health & Social Care 2020 (Curtis, 2020). p 91"
HEALTH,ALCOHOL,Alcohol - universal GP screening and (if required) brief intervention for alcohol misuse,Per visit,NHS,Integrated Care System,26.15104245,,,"Unit Costs of Health & Social Care 2020 (Curtis, 2020). p 45"
HEALTH,DRUGS,"Drugs misuse - average annual savings resulting from reductions in drug-related offending and health and social care costs as a result of delivery of a structured, effective treatment programme",Per year,Criminal Justice System,NHS,4538.020976,11243.34251,4789.156614,"Estimating the crime reduction benefits of drug treatment and recovery (National Treatment Agency for Substance Misuse, 2012), p.11; and Drug Treatment Outcomes Research Study (DTORS) (Home Office, 2009), p.13"
HEALTH,DRUGS,"Drugs misuse - average annual savings to the criminal justice system from reduced drug-related offending by people in receipt of effective treatment, per person ",Per year,Criminal Justice System,VCS,1872.826848,3345.283751,1338.1135,"Estimating the crime reduction benefits of drug treatment and recovery (National Treatment Agency for Substance Misuse, 2012), p.11"
HEALTH,DRUGS,"Drugs misuse - average annual savings to the NHS from reduced drug-related offending by people in receipt of effective treatment, per person (cost refers to the reduced physical harm perpetrated on victims due to fewer robberies)",Per year,NHS,Acute Trust / Hospital,134.3434031,3345.283751,1338.1135,"Estimating the crime reduction benefits of drug treatment and recovery (National Treatment Agency for Substance Misuse, 2012), p.11"
HEALTH,DRUGS,Drugs misuse - annual savings in health and social care from delivery of a structured drug treatment programme,Per year,NHS,Acute Trust / Hospital,2499.138317,,,"Drug Treatment Outcomes Research Study (DTORS) (Home Office, 2009), p.13"
HEALTH,DRUGS,"Drugs misuse - average long-term savings from reduced drug-related offending following receipt of effective treatment, per person sustaining recovery",Per person,Criminal Justice System,NHS,2694.848859,4490.528009,1795.679151,"Estimating the crime reduction benefits of drug treatment and recovery (National Treatment Agency for Substance Misuse, 2012), p.17"
HEALTH,DRUGS,"Drugs misuse - average long-term fiscal savings to the criminal justice system and victim services from reduced drug-related offending following receipt of effective treatment, per person",Per person,Criminal Justice System,VCS,2515.280944,,,"Estimating the crime reduction benefits of drug treatment and recovery (National Treatment Agency for Substance Misuse, 2012), p.17"
HEALTH,DRUGS,"Drugs misuse - average long-term fiscal savings to the NHS from reduced drug-related offending following receipt of effective treatment, per person (cost refers to the reduced physical harm perpetrated on victims due to fewer robberies)",Per person,NHS,Acute Trust / Hospital,179.5679151,,,"Estimating the crime reduction benefits of drug treatment and recovery (National Treatment Agency for Substance Misuse, 2012), p.17"
HEALTH,DRUGS,Drug treatment - average annual cost of structured community drug treatment per person engaged in effective treatment,Per year,NHS,Acute Trust / Hospital,3344.682786,,,"Estimating the crime reduction benefits of drug treatment and recovery (National Treatment Agency for Substance Misuse, 2012), p.12"
HEALTH,DRUGS,"Drug Services, Adult, Admitted Patient",Per admission,NHS,Integrated Care System,815.0858717,,,National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts - Mental Health (currency code DRUAAP)
HEALTH,DRUGS,"Drug Services, Adult, Outpatient Attendances",Per attendance,NHS,Integrated Care System,127.6596514,,,National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts - Mental Health (currency code DRUAOP)
HEALTH,DRUGS,"Drug Services, Adult, Community Contacts",Per contact,NHS,Integrated Care System,114.8002218,,,National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts - Mental Health (currency code DRUACC)
HEALTH,DRUGS,"Drug Services, Children and Adolescents, Community Contacts",Per contact,NHS,Integrated Care System,192.4294939,,,National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts - Mental Health (currency code DRUCCC)
HEALTH,DRUGS,Inpatient detoxification for people who misuse drugs or alcohol,Per day,NHS,Integrated Care System,185.8372119,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.61"
HEALTH,DRUGS,Rehabilitation for drug or alcohol addiction ,Per bed day,NHS,Integrated Care System,457.2563952,,,National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against Rehab currency code VC26Z x level 1/2/3)
HEALTH,DRUGS,Residential rehabilitation for people who misuse drugs or alcohol,Per week,NHS,Local authority,830.2337777,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.60"
HEALTH,DRUGS,Specialist prescribing,Per week,NHS,Integrated Care System,67.57716795,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.62"
HEALTH,DRUGS,Methadone maintenance - cost of maintaining a drug-misuser on a methadone treatment programme,Per week,NHS,Integrated Care System,81.04022681,,,"Unit Costs of Health and Social Care 2009 (Curtis, 2009), p.73"
HEALTH,DRUGS,Needle Exchange - cost per service user contact,Per service user contact,NHS,Integrated Care System,33.7865056,,,NDTMS Unit Cost Report - national and regional totals
HEALTH,DRUGS,Drug Advice and Information - cost per service user contact,Per service user contact,NHS,Integrated Care System,62.43927259,,,NDTMS Unit Cost Report - national and regional totals
HEALTH,DRUGS,Structured Day Programme - cost per day in treatment,Per day,NHS,Integrated Care System,15.21736292,,,NDTMS Unit Cost Report - national and regional totals
HEALTH,DRUGS,Drug Aftercare - cost per service user contact,Per service user contact,NHS,Integrated Care System,147.6055919,,,NDTMS Unit Cost Report - national and regional totals
HEALTH,DRUGS,Drug Outreach - cost per service user contact,Per service user contact,NHS,Integrated Care System,126.6180764,,,NDTMS Unit Cost Report - national and regional totals
HEALTH,DRUGS,Drug Worker - annual salary costs,Per FTE,NHS,Integrated Care System,38814.17523,,,NDTMS Unit Cost Report - national and regional totals
HEALTH,SEXUAL HEALTH,Community sexual health services - HIV/AIDS specialist nursing (face-to-face),Per attendance,NHS,Integrated Care System,139.6596372,,,"Unit Costs of Health & Social Care 2021 (Curtis, 2021). p 87"
HEALTH,SEXUAL HEALTH,Family planning clinic (consultant-led) - outpatient attendance,Per attendance,NHS,Integrated Care System,133.2138078,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 87"
HEALTH,SEXUAL HEALTH,Community sexual health services - screening interventions for sexually transmitted infections (STIs) - cost of processing samples and administration of results,Per person ,NHS,Integrated Care System,33.00264657,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 88"
HEALTH,MATERNITY,Additional healthcare costs of children born to pregnant smokers - first year following birth,Per person ,NHS,Integrated Care System,110.0301103,,,"Estimating the health‐care costs of children born to pregnant smokers in England: cohort study using primary and secondary health‐care data (Vaz et al, 2017)"
HEALTH,MATERNITY,Cost of pregnancy outcomes for the mother caused by maternal smoking,Per case,NHS,Integrated Care System,761.6731536,,,"Estimating the costs to the NHS of smoking in pregnancy for pregnant women and infants, PHRC, p24-25"
HEALTH,MATERNITY,Cost of pre-term birth attributable to smoking in pregnancy,Per case,NHS,Integrated Care System,5045.281867,,,"Estimating the costs to the NHS of smoking in pregnancy for pregnant women and infants, PHRC, p24-27"
HEALTH,MATERNITY,Average annual cost per case of perinatal depression - mother,Per case,Society / Economic,NHS,2095.443847,25661.73887,,"The cost of perinatal mental health problems, Maternal Mental Health Alliance, pg.12"
HEALTH,MATERNITY,Average annual cost per case of perinatal depression - child,Per case,Multiple,,9895.01357,53988.71348,,"The cost of perinatal mental health problems, Maternal Mental Health Alliance, pg.13"
HEALTH,MATERNITY,Average annual cost per case of perinatal anxiety - mother,Per case,Society / Economic,NHS,5362.747286,20450.43954,,"The cost of perinatal mental health problems, Maternal Mental Health Alliance, pg.14"
HEALTH,MATERNITY,Average annual cost per case of perinatal anxiety - child,Per case,Multiple,,6656.261794,10744.11522,,"The cost of perinatal mental health problems, Maternal Mental Health Alliance, pg.15"
HEALTH,TELEHEALTH,Average annual cost of telehealth provision per participant,Per person ,NHS,Integrated Care System,2493.666832,,,"Unit Costs of Health & Social Care 2013 (Curtis, 2013), p.29"
HEALTH,TELEHEALTH,Average annual cost of telehealth provision per participant - equipment costs,Per person ,NHS,Integrated Care System,922.2780799,,,"Unit Costs of Health & Social Care 2013 (Curtis, 2013), p.29"
HEALTH,TELEHEALTH,Average annual cost of telehealth provision per participant - support package costs,Per person ,NHS,Integrated Care System,1571.388752,,,"Unit Costs of Health & Social Care 2013 (Curtis, 2013), p.29"
HEALTH,TELECARE,Average annual cost of telecare provision per participant,Per person ,Local Authority,Social Services,1071.032609,,,"Unit Costs of Health & Social Care 2013 (Curtis, 2013), p.29"
HEALTH,TELECARE,Average annual cost of telecare provision per participant - equipment costs,Per person ,Local Authority,Social Services,109.5374259,,,"Unit Costs of Health & Social Care 2013 (Curtis, 2013), p.29"
HEALTH,TELECARE,Average annual cost of telecare provision per participant - support package costs,Per person ,Local Authority,Social Services,961.495183,,,"Unit Costs of Health & Social Care 2013 (Curtis, 2013), p.29"
HEALTH,WORKPLACE,Non-fatal workplace injury - average cost per incident (for any length of absence),Per incident,Multiple,NHS,1978.111457,1512.673467,6748.850853,"Costs to Britain of workplace fatalities and self reported injuries and ill health, 2018/19 (Health and Safety Executive, 2020)"
HEALTH,WORKPLACE,"Non-fatal workplace injury - average cost per incident, 7 days or more absence",Per incident,Multiple,NHS,6748.850853,6050.693868,27228.1224,"Costs to Britain of workplace fatalities and self reported injuries and ill health, 2018/19 (Health and Safety Executive, 2020)"
HEALTH,WORKPLACE,"Non-fatal workplace injury - average cost per incident, up to 6 days absence",Per incident,Multiple,NHS,453.8020401,209.4470954,383.9863416,"Costs to Britain of workplace fatalities and self reported injuries and ill health, 2018/19 (Health and Safety Executive, 2020)"
HEALTH,WORKPLACE,Workplace fatality - average cost per incident,Per incident,Multiple,NHS,132940.7258,389629.7772,1508019.087,"Costs to Britain of workplace fatalities and self reported injuries and ill health, 2018/19 (Health and Safety Executive, 2020)"
HEALTH,WORKPLACE,Work-related ill-health - average cost of absence from the workplace (for any length of time) due to work-related ill health,Per incident,Multiple,NHS,5119.817888,5352.536883,11752.30924,"Costs to Britain of workplace fatalities and self reported injuries and ill health, 2018/19 (Health and Safety Executive, 2020)"
